name,address,lat,lng
寿司郎·广州东方宝泰店,广州市天河区林和中路63号东方宝泰购物广场,23.1575,113.3238
寿司郎·广州正佳广场店,广州市天河区天河路228号正佳广场,23.1345,113.3238
寿司郎·广州万菱汇店,广州市天河区天河路232号万菱汇,23.1349,113.3253
寿司郎·广州中华广场店,广州市越秀区中山三路33号中华广场,23.1302,113.2833
寿司郎·广州北京路粤潮楼店,广州市越秀区北京路182号粤潮楼,23.1239,113.2645
寿司郎·广州万科里店,广州市海珠区江燕路99号万科里,23.0788,113.2692
寿司郎·广州丽影广场店,广州市海珠区新港中路350号丽影广场,23.0890,113.3318
寿司郎·广州悦汇城店,广州市荔湾区西湾路150号悦汇城,23.1403,113.2479
寿司郎·广州番禺永旺梦乐城店,广州市番禺区亚运大道1号永旺梦乐城,22.9308,113.3891
寿司郎·广州番禺万达店,广州市番禺区汉溪大道东381号万达广场,22.9559,113.3527
寿司郎·广州凯德广场云尚店,广州市白云区云城西路890号凯德广场·云尚,23.1945,113.2535
寿司郎·深圳卓悦中心店,深圳市福田区福华一路348号卓悦中心,22.5378,114.0569
寿司郎·深圳皇庭广场店,深圳市福田区福华三路118号皇庭广场,22.5334,114.0578
寿司郎·深圳iN城市广场店,深圳市福田区深南中路1095号iN城市广场,22.5455,114.0810
寿司郎·深圳海岸城店,深圳市南山区文心五路33号海岸城购物中心,22.5225,113.9344
寿司郎·深圳海雅缤纷城店,深圳市宝安区宝民一路99号海雅缤纷城,22.5562,113.8878
寿司郎·深圳龙华天虹店,深圳市龙华区人民路2020号天虹购物中心,22.6845,114.0362
寿司郎·北京西单大悦城店,北京市西城区西单北大街131号西单大悦城,39.9103,116.3735
寿司郎·北京太阳宫凯德店,北京市朝阳区太阳宫中路12号凯德MALL,39.9691,116.4432
寿司郎·北京中关村大融城店,北京市海淀区中关村大街15号中关村ARTPARK大融城,39.9836,116.3176
寿司郎·北京长楹天街店,北京市朝阳区长楹天街购物中心,39.9089,116.5766
寿司郎·北京长安天街店,北京市门头沟区新城大街17号长安天街,39.9402,116.1035
寿司郎·北京房山熙悦天街店,北京市房山区熙悦天街,39.7359,116.1372
寿司郎·北京石景山喜隆多店,北京市石景山区阜石路300号喜隆多,39.9241,116.2234
寿司郎·天津大悦城店,天津市南开区南门外大街天津大悦城,39.1282,117.1876
寿司郎·天津天河城店,天津市和平区和平路263号天河城,39.1360,117.2069
寿司郎·天津西青大悦汇店,天津市西青区中北镇万卉路8号西青大悦汇,39.0915,117.0563
寿司郎·上海环球港店,上海市普陀区中山北路3300号月星环球港,31.2383,121.4118
寿司郎·上海中山公园龙之梦店,上海市长宁区长宁路1018号龙之梦,31.2203,121.4197
寿司郎·上海虹桥新天地店,上海市闵行区申长路900号虹桥新天地,31.1929,121.3219
寿司郎·上海陆家嘴中心L+MALL店,上海市浦东新区商城路陆家嘴中心,31.2344,121.5020
寿司郎·上海南翔印象城MEGA店,上海市嘉定区陈翔公路2299号南翔印象城,31.2910,121.3255
寿司郎·上海瑞虹天地月亮湾店,上海市虹口区瑞虹路188号瑞虹天地,31.2613,121.4862
寿司郎·成都IFS店,成都市锦江区红星路三段成都IFS,30.6530,104.0814
寿司郎·成都来福士广场店,成都市武侯区人民南路四段3号来福士广场,30.6386,104.0687
寿司郎·成都万象城店,成都市成华区双庆路8号成都万象城,30.6433,104.1053
寿司郎·成都伊藤广场店,成都市锦江区喜树街35号伊藤广场,30.6262,104.0900
寿司郎·武汉摩尔城店,武汉市汉阳区龙阳大道特6号摩尔城,30.5427,114.2291
寿司郎·武汉江宸天街店,武汉市江汉区江宸天街,30.6168,114.2193
寿司郎·武汉银泰创意城店,武汉市洪山区珞喻路35号银泰创意城,30.5288,114.3530
寿司郎·武汉江宸天街青年路店,武汉市江汉区青年路518号江宸天街,30.6180,114.2475
寿司郎·佛山南海万科广场店,佛山市南海区桂澜中路23号南海万科广场,23.0336,113.1506
寿司郎·佛山王府井紫薇港店,佛山市禅城区季华四路70号王府井紫薇港,23.0226,113.1122
寿司郎·东莞海德汇一城店,东莞市南城街道鸿福路200号第一国际财富中心,23.0128,113.7510
寿司郎·东莞民盈国贸城店,东莞市东城街道鸿福东路1号民盈国贸城,23.0170,113.7611
寿司郎·东莞松山湖万象汇店,东莞市寮步镇总部三路2号嘉宏国际中心,22.9823,113.8485
寿司郎·珠海华发商都店,珠海市香洲区珠海大道8号华发商都,22.2737,113.5684
寿司郎·苏州中心店,苏州市工业园区苏州中心商场,31.3177,120.6736
寿司郎·苏州吴江万象汇店,苏州市吴江区开平路2299号吴江万象汇,31.1584,120.6424
寿司郎·苏州万象天地店,苏州市姑苏区金石街苏州万象天地,31.3071,120.5899
寿司郎·苏州狮山天街店,苏州市虎丘区塔园路181号狮山天街,31.3090,120.5667
寿司郎·昆山万象汇店,昆山市玉山镇万象路昆山万象汇,31.3892,120.9770
寿司郎·重庆时代天街店,重庆市渝中区龙湖时代天街,29.5441,106.5156
寿司郎·杭州湖滨银泰in77店,杭州市上城区东坡路5号湖滨银泰in77,30.2524,120.1658
寿司郎·杭州奥体印象城店,杭州市萧山区飞虹路1408号奥体印象城,30.2049,120.2121
寿司郎·宁波万象城店,宁波市江北区清河路265号宁波万象城,29.8904,121.5628
寿司郎·宁波环球银泰城店,宁波市鄞州区天童南路1088号环球银泰,29.8177,121.5677
寿司郎·宁波万象汇店,宁波市鄞州区钱湖北路267号宁波万象汇,29.8198,121.6120
寿司郎·无锡万象城店,无锡市滨湖区金石路88号无锡万象城,31.5123,120.3049
寿司郎·济南万象城店,济南市历下区济南万象城,36.6636,117.0997
